"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2022","118.12","118.17","120.75","115.04","606.27K","1.63%"
"05/29/2022","116.23","112.10","117.77","108.94","393.91K","3.56%"
"05/22/2022","112.23","107.34","112.42","105.94","328.59K","1.77%"
"05/15/2022","110.28","109.00","113.20","103.24","1.25M","1.52%"
"05/08/2022","108.63","108.97","109.00","96.93","798.51K","0.28%"
"05/01/2022","108.33","102.15","109.77","98.87","495.75K","5.24%"
"04/24/2022","102.94","100.38","105.99","94.47","468.04K","1.87%"
"04/17/2022","101.05","106.46","109.20","99.88","976.46K","-5.01%"
"04/10/2022","106.38","97.84","107.00","92.60","671.33K","8.85%"
"04/03/2022","97.73","97.68","104.07","93.21","694.95K","-0.17%"
"03/27/2022","97.90","110.22","110.22","96.22","646.92K","-11.85%"
"03/20/2022","111.06","103.62","113.51","102.47","927.97K","7.73%"
"03/13/2022","103.09","106.64","106.65","92.20","960.27K","-3.02%"
"03/06/2022","106.30","116.03","126.42","99.55","1.02M","-5.18%"
"02/27/2022","112.11","92.97","112.65","92.42","1.04M","24.72%"
"02/20/2022","89.89","91.32","98.44","88.49","1.39M","-0.35%"
"02/13/2022","90.21","92.06","93.83","87.46","1.83M","-1.32%"
"02/06/2022","91.42","89.88","92.74","87.07","1.26M","1.21%"
"01/30/2022","90.33","85.92","90.98","84.92","882.54K","5.74%"
"01/23/2022","85.43","83.84","87.36","81.06","852.15K","1.53%"
"01/16/2022","84.14","83.77","87.10","81.96","1.70M","1.01%"
"01/09/2022","83.30","78.51","83.79","77.34","1.40M","6.20%"
"01/02/2022","78.44","75.53","79.82","74.01","939.92K","4.75%"
"12/26/2021","74.88","73.00","77.06","72.22","345.76K","1.99%"
"12/19/2021","73.42","69.88","73.60","66.12","781.61K","3.82%"
"12/12/2021","70.72","71.84","72.82","69.21","1.26M","-1.06%"
"12/05/2021","71.48","66.85","73.13","66.62","777.91K","8.14%"
"11/28/2021","66.10","68.93","72.48","62.26","843.65K","-2.56%"
"11/21/2021","67.84","75.07","78.59","67.14","607.29K","-10.67%"
"11/14/2021","75.94","79.59","80.68","75.09","1.95M","-4.71%"
"11/07/2021","79.69","80.00","83.30","78.67","1.05M","-0.55%"
